function,F,CR,run,best_fitness
Rosenbrock,0.6,0.7,5,28.3375
Rosenbrock,0.6,0.7,6,26.8784
Rosenbrock,0.6,0.7,7,28.3724
Rosenbrock,0.6,0.7,8,28.1356
Rosenbrock,0.6,0.7,9,27.5723
Rosenbrock,0.6,0.7,10,26.3653
Rosenbrock,0.6,0.9,1,24.7118
Rosenbrock,0.6,0.9,2,24.415
Rosenbrock,0.6,0.9,3,27.1439
Rosenbrock,0.6,0.9,4,24.9782
Rosenbrock,0.6,0.9,5,24.1552
Rosenbrock,0.6,0.9,6,23.0426
Rosenbrock,0.6,0.9,7,24.3085
Rosenbrock,0.6,0.9,8,19.4295
Rosenbrock,0.6,0.9,9,24.5132
Rosenbrock,0.6,0.9,10,24.259
Rosenbrock,0.8,0.1,1,70.9608
Rosenbrock,0.8,0.1,2,80.4097
Rosenbrock,0.8,0.1,3,52.3945
Rosenbrock,0.8,0.1,4,77.2789
Rosenbrock,0.8,0.1,5,85.1593
Rosenbrock,0.8,0.1,6,66.5904
Rosenbrock,0.8,0.1,7,99.6411
Rosenbrock,0.8,0.1,8,83.9272
Rosenbrock,0.8,0.1,9,93.2771
Rosenbrock,0.8,0.1,10,51.8356
Rosenbrock,0.8,0.3,1,258.278
Rosenbrock,0.8,0.3,2,225.914
Rosenbrock,0.8,0.3,3,204.604
Rosenbrock,0.8,0.3,4,226.64
Rosenbrock,0.8,0.3,5,165.947
Rosenbrock,0.8,0.3,6,241.547
Rosenbrock,0.8,0.3,7,231.136
Rosenbrock,0.8,0.3,8,313.323
Rosenbrock,0.8,0.3,9,250.565
Rosenbrock,0.8,0.3,10,287.207
Rosenbrock,0.8,0.5,1,1384.05
Rosenbrock,0.8,0.5,2,795.726
Rosenbrock,0.8,0.5,3,1504.53
Rosenbrock,0.8,0.5,4,912.231
Rosenbrock,0.8,0.5,5,1276.86
Rosenbrock,0.8,0.5,6,1652.92
Rosenbrock,0.8,0.5,7,1007.34
Rosenbrock,0.8,0.5,8,1475.45
Rosenbrock,0.8,0.5,9,1345.87
Rosenbrock,0.8,0.5,10,1574.2
Rosenbrock,0.8,0.7,1,5808.95
Rosenbrock,0.8,0.7,2,4900.62
Rosenbrock,0.8,0.7,3,3888.1
Rosenbrock,0.8,0.7,4,5478.22
Rosenbrock,0.8,0.7,5,4869.61
Rosenbrock,0.8,0.7,6,9786.6
Rosenbrock,0.8,0.7,7,6189.26
Rosenbrock,0.8,0.7,8,5951.81
Rosenbrock,0.8,0.7,9,4082.65
Rosenbrock,0.8,0.7,10,7778.26
Rosenbrock,0.8,0.9,1,614.844
Rosenbrock,0.8,0.9,2,1970.71
Rosenbrock,0.8,0.9,3,574.623
Rosenbrock,0.8,0.9,4,892.4
Rosenbrock,0.8,0.9,5,374.889
Rosenbrock,0.8,0.9,6,872.13
Rosenbrock,0.8,0.9,7,652.436
Rosenbrock,0.8,0.9,8,703.922
Rosenbrock,0.8,0.9,9,610.721
Rosenbrock,0.8,0.9,10,1964.78
Rosenbrock,1,0.1,1,152.738
Rosenbrock,1,0.1,2,99.7555
Rosenbrock,1,0.1,3,122.086
Rosenbrock,1,0.1,4,75.5732
Rosenbrock,1,0.1,5,121.845
Rosenbrock,1,0.1,6,144.7
Rosenbrock,1,0.1,7,156.544
Rosenbrock,1,0.1,8,115.589
Rosenbrock,1,0.1,9,144.614
Rosenbrock,1,0.1,10,143.655
Rosenbrock,1,0.3,1,1186.01
Rosenbrock,1,0.3,2,1122.53
Rosenbrock,1,0.3,3,1423.46
Rosenbrock,1,0.3,4,2404.75
Rosenbrock,1,0.3,5,1217.11
Rosenbrock,1,0.3,6,1387.19
Rosenbrock,1,0.3,7,1619.64
Rosenbrock,1,0.3,8,1599.76
Rosenbrock,1,0.3,9,1837.37
Rosenbrock,1,0.3,10,1617.28
Rosenbrock,1,0.5,1,33828.6
Rosenbrock,1,0.5,2,45186.2
Rosenbrock,1,0.5,3,24466.6
Rosenbrock,1,0.5,4,33011.1
Rosenbrock,1,0.5,5,24485.1
Rosenbrock,1,0.5,6,30598
Rosenbrock,1,0.5,7,28595.2
Rosenbrock,1,0.5,8,22476.5
Rosenbrock,1,0.5,9,29328.3
Rosenbrock,1,0.5,10,26785.2
Rosenbrock,1,0.7,1,126478
Rosenbrock,1,0.7,2,74119.4
Rosenbrock,1,0.7,3,89295
Rosenbrock,1,0.7,4,106088
Rosenbrock,1,0.7,5,106854
Rosenbrock,1,0.7,6,62653.3
Rosenbrock,1,0.7,7,121586
Rosenbrock,1,0.7,8,111162
Rosenbrock,1,0.7,9,84427.3
Rosenbrock,1,0.7,10,108925
Rosenbrock,1,0.9,1,61651.9
Rosenbrock,1,0.9,2,58547.7
Rosenbrock,1,0.9,3,33583.8
Rosenbrock,1,0.9,4,118455
Rosenbrock,1,0.9,5,65769.4
Rosenbrock,1,0.9,6,42727.3
Rosenbrock,1,0.9,7,48965.7
Rosenbrock,1,0.9,8,91104.9
Rosenbrock,1,0.9,9,115394
Rosenbrock,1,0.9,10,24535.3
Rastrigin,0.2,0.1,1,4.21458e-11
Rastrigin,0.2,0.1,2,1.67365e-10
Rastrigin,0.2,0.1,3,2.63478e-08
Rastrigin,0.2,0.1,4,1.16384e-09
Rastrigin,0.2,0.1,5,0.0105796
Rastrigin,0.2,0.1,6,2.66244e-08
Rastrigin,0.2,0.1,7,2.85158e-09
Rastrigin,0.2,0.1,8,1.15766e-09
Rastrigin,0.2,0.1,9,1.93161e-11
Rastrigin,0.2,0.1,10,0.994959
Rastrigin,0.2,0.3,1,13.053
Rastrigin,0.2,0.3,2,15.1916
Rastrigin,0.2,0.3,3,6.94472
Rastrigin,0.2,0.3,4,13.9851
Rastrigin,0.2,0.3,5,0.134981
Rastrigin,0.2,0.3,6,0.00225199
Rastrigin,0.2,0.3,7,21.2737
Rastrigin,0.2,0.3,8,10.9789
Rastrigin,0.2,0.3,9,1.11192
Rastrigin,0.2,0.3,10,0.201946
Rastrigin,0.2,0.5,1,9.51637
Rastrigin,0.2,0.5,2,43.5976
Rastrigin,0.2,0.5,3,26.8017
Rastrigin,0.2,0.5,4,28.4475
Rastrigin,0.2,0.5,5,32.6207
Rastrigin,0.2,0.5,6,31.6052
Rastrigin,0.2,0.5,7,23.5962
Rastrigin,0.2,0.5,8,33.31
Rastrigin,0.2,0.5,9,8.13808
Rastrigin,0.2,0.5,10,54.6279
Rastrigin,0.2,0.7,1,11.917
Rastrigin,0.2,0.7,2,19.5376
Rastrigin,0.2,0.7,3,18.2952
Rastrigin,0.2,0.7,4,4.05722
Rastrigin,0.2,0.7,5,26.5532
Rastrigin,0.2,0.7,6,13.8139
Rastrigin,0.2,0.7,7,4.07672
Rastrigin,0.2,0.7,8,33.7192
Rastrigin,0.2,0.7,9,3.75312
Rastrigin,0.2,0.7,10,34.2875
Rastrigin,0.2,0.9,1,38.608
Rastrigin,0.2,0.9,2,38.4951
Rastrigin,0.2,0.9,3,25.8841
Rastrigin,0.2,0.9,4,24.5154
Rastrigin,0.2,0.9,5,45.3762
Rastrigin,0.2,0.9,6,22.6518
Rastrigin,0.2,0.9,7,24.534
Rastrigin,0.2,0.9,8,31.3919
Rastrigin,0.2,0.9,9,31.5522
Rastrigin,0.2,0.9,10,43.4462
Rastrigin,0.4,0.1,1,10.8022
Rastrigin,0.4,0.1,2,2.96352
Rastrigin,0.4,0.1,3,6.12133
Rastrigin,0.4,0.1,4,9.10351
Rastrigin,0.4,0.1,5,14.9298
Rastrigin,0.4,0.1,6,6.45052
Rastrigin,0.4,0.1,7,15.6003
Rastrigin,0.4,0.1,8,17.0872
Rastrigin,0.4,0.1,9,10.5247
Rastrigin,0.4,0.1,10,6.41292
Rastrigin,0.4,0.3,1,74.8354
Rastrigin,0.4,0.3,2,89.8778
Rastrigin,0.4,0.3,3,83.5473
Rastrigin,0.4,0.3,4,81.7548
Rastrigin,0.4,0.3,5,86.1605
Rastrigin,0.4,0.3,6,72.6935
Rastrigin,0.4,0.3,7,78.8937
Rastrigin,0.4,0.3,8,76.7836
Rastrigin,0.4,0.3,9,74.9307
Rastrigin,0.4,0.3,10,90.738
Rastrigin,0.4,0.5,1,130.746
Rastrigin,0.4,0.5,2,121.286
Rastrigin,0.4,0.5,3,127.029
Rastrigin,0.4,0.5,4,125.658
Rastrigin,0.4,0.5,5,126.815
Rastrigin,0.4,0.5,6,122.803
Rastrigin,0.4,0.5,7,120.97
Rastrigin,0.4,0.5,8,111.843
Rastrigin,0.4,0.5,9,118.525
Rastrigin,0.4,0.5,10,125.694
Rastrigin,0.4,0.7,1,131.21
Rastrigin,0.4,0.7,2,169.392
Rastrigin,0.4,0.7,3,169.302
Rastrigin,0.4,0.7,4,148.354
Rastrigin,0.4,0.7,5,141.537
Rastrigin,0.4,0.7,6,152.901
Rastrigin,0.4,0.7,7,156.469
Rastrigin,0.4,0.7,8,153.066
Rastrigin,0.4,0.7,9,140.944
Rastrigin,0.4,0.7,10,162.942
Rastrigin,0.4,0.9,1,79.6422
Rastrigin,0.4,0.9,2,84.7485
Rastrigin,0.4,0.9,3,50.847
Rastrigin,0.4,0.9,4,97.1878
Rastrigin,0.4,0.9,5,87.0325
Rastrigin,0.4,0.9,6,96.4263
Rastrigin,0.4,0.9,7,75.5114
Rastrigin,0.4,0.9,8,36.4673
Rastrigin,0.4,0.9,9,79.7354
Rastrigin,0.4,0.9,10,36.9148
Rastrigin,0.6,0.1,1,28.5659
Rastrigin,0.6,0.1,2,24.2812
Rastrigin,0.6,0.1,3,28.7161
Rastrigin,0.6,0.1,4,32.3106
Rastrigin,0.6,0.1,5,30.8469
Rastrigin,0.6,0.1,6,31.9926
Rastrigin,0.6,0.1,7,26.0092
Rastrigin,0.6,0.1,8,30.6902
Rastrigin,0.6,0.1,9,26.6571
Rastrigin,0.6,0.1,10,18.9155
